Description,Code
"Rope, Cordage and Twine Manufacturing",1332
Cut and Sewn Textile Product Manufacturing,1333
Textile Finishing and Other Textile Product Manufacturing,1334
Knitted Product Manufacturing,1340
Clothing Manufacturing,1351
Footwear Manufacturing,1352
Log Sawmilling,1411
Wood Chipping,1412
Timber Resawing and Dressing,1413
Prefabricated Wooden Building Manufacturing,1491
Wooden Structural Fitting and Component Manufacturing,1492
Veneer and Plywood Manufacturing,1493
Reconstituted Wood Product Manufacturing,1494
Other Wood Product Manufacturing n.e.c.,1499
"Pulp, Paper and Paperboard Manufacturing",1510
Corrugated Paperboard and Paperboard Container Manufacturing,1521
Paper Bag Manufacturing,1522
Paper Stationery Manufacturing,1523
Sanitary Paper Product Manufacturing,1524
Other Converted Paper Product Manufacturing,1529
Printing,1611
Printing Support Services,1612
Reproduction of Recorded Media,1620
Petroleum Refining and Petroleum Fuel Manufacturing,1701
Other Petroleum and Coal Product Manufacturing,1709
Industrial Gas Manufacturing,1811
Basic Organic Chemical Manufacturing,1812
Basic Inorganic Chemical Manufacturing,1813
Synthetic Resin and Synthetic Rubber Manufacturing,1821
Other Basic Polymer Manufacturing,1829
Fertiliser Manufacturing,1831
Pesticide Manufacturing,1832
Human Pharmaceutical and Medicinal Product Manufacturing,1841
Veterinary Pharmaceutical and Medicinal Product Manufacturing,1842
Cleaning Compound Manufacturing,1851
Cosmetic and Toiletry Preparation Manufacturing,1852
Photographic Chemical Product Manufacturing,1891
Explosive Manufacturing,1892
Other Basic Chemical Product Manufacturing n.e.c.,1899
Polymer Film and Sheet Packaging Material Manufacturing,1911
Rigid and Semi-Rigid Polymer Product Manufacturing,1912
Polymer Foam Product Manufacturing,1913
Tyre Manufacturing,1914
Adhesive Manufacturing,1915
Paint and Coatings Manufacturing,1916
Other Polymer Product Manufacturing,1919
Natural Rubber Product Manufacturing,1920
Glass and Glass Product Manufacturing,2010
Clay Brick Manufacturing,2021
Other Ceramic Product Manufacturing,2029
Cement and Lime Manufacturing,2031
Plaster Product Manufacturing,2032
Ready-Mixed Concrete Manufacturing,2033
Concrete Product Manufacturing,2034
Other Non-Metallic Mineral Product Manufacturing,2090
Iron Smelting and Steel Manufacturing,2110
Iron and Steel Casting,2121
Steel Pipe and Tube Manufacturing,2122
Alumina Production,2131
Aluminium Smelting,2132
"Copper, Silver, Lead and Zinc Smelting and Refining",2133
Other Basic Non-Ferrous Metal Manufacturing,2139
Non-Ferrous Metal Casting,2141
"Aluminium Rolling, Drawing, Extruding",2142
Other Basic Non-Ferrous Metal Product Manufacturing,2149
Iron and Steel Forging,2210
Structural Steel Fabricating,2221
Prefabricated Metal Building Manufacturing,2222
Architectural Aluminium Product Manufacturing,2223
Metal Roof and Guttering Manufacturing (except Aluminium),2224
Other Structural Metal Product Manufacturing,2229
"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing",2231
Other Metal Container Manufacturing,2239
Sheet Metal Product Manufacturing (except Metal Structural and Container,2240
Spring and Wire Product Manufacturing,2291
"Nut, Bolt, Screw and Rivet Manufacturing",2292
Metal Coating and Finishing,2293
Other Fabricated Metal Product Manufacturing n.e.c.,2299
Motor Vehicle Manufacturing,2311
Motor Vehicle Body and Trailer Manufacturing,2312
Automotive Electrical Component Manufacturing,2313
Other Motor Vehicle Parts Manufacturing,2319
Shipbuilding and Repair Services,2391
Boatbuilding and Repair Services,2392
Railway Rolling Stock Manufacturing and Repair Services,2393
Aircraft Manufacturing and Repair Services,2394
Other Transport Equipment Manufacturing n.e.c.,2399
"Photographic, Optical and Ophthalmic Equipment Manufacturing",2411
Medical and Surgical Equipment Manufacturing,2412
Other Professional and Scientific Equipment Manufacturing,2419
Computer and Electronic Office Equipment Manufacturing,2421
Communication Equipment Manufacturing,2422
Other Electronic Equipment Manufacturing,2429
Electric Cable and Wire Manufacturing,2431
Electric Lighting Equipment Manufacturing,2432
Other Electrical Equipment Manufacturing,2439
Whiteware Appliance Manufacturing,2441
Other Domestic Appliance Manufacturing,2449
Pump and Compressor Manufacturing,2451
"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing",2452
Agricultural Machinery and Equipment Manufacturing,2461
Mining and Construction Machinery Manufacturing,2462
Machine Tool and Parts Manufacturing,2463
Other Specialised Machinery and Equipment Manufacturing,2469
Lifting and Material Handling Equipment Manufacturing,2491
Other Machinery and Equipment Manufacturing n.e.c.,2499
Wooden Furniture and Upholstered Seat Manufacturing,2511
Metal Furniture Manufacturing,2512
Mattress Manufacturing,2513
Other Furniture Manufacturing,2519
Jewellery and Silverware Manufacturing,2591
"Toy, Sporting and Recreational Product Manufacturing",2592
Other Manufacturing n.e.c.,2599
Fossil Fuel Electricity Generation,2611
Hydro-Electricity Generation,2612
Other Electricity Generation,2619
Electricity Transmission,2620
Electricity Distribution,2630
On Selling Electricity and Electricity Market Operation,2640
Gas Supply,2700
Water Supply,2811
Sewerage and Drainage Services,2812
Solid Waste Collection Services,2911
Other Waste Collection Services,2919
Waste Treatment and Disposal Services,2921
Waste Remediation and Materials Recovery Services,2922
House Construction,3011
Other Residential Building Construction,3019
Non-Residential Building Construction,3020
Road and Bridge Construction,3101
Other Heavy and Civil Engineering Construction,3109
Land Development and Subdivision,3211
Site Preparation Services,3212
Concreting Services,3221
Bricklaying Services,3222
Roofing Services,3223
Structural Steel Erection Services,3224
Plumbing Services,3231
Electrical Services,3232
Air Conditioning and Heating Services,3233
Fire and Security Alarm Installation Services,3234
Other Building Installation Services,3239
Plastering and Ceiling Services,3241
Carpentry Services,3242
Tiling and Carpeting Services,3243
Painting and Decorating Services,3244
Glazing Services,3245
Landscape Construction Services,3291
Hire of Construction Machinery with Operator,3292
Other Construction Services n.e.c.,3299
Wool Wholesaling,3311
Cereal Grain Wholesaling,3312
Other Agricultural Product Wholesaling,3319
Petroleum Product Wholesaling,3321
Metal and Mineral Wholesaling,3322
Industrial and Agricultural Chemical Product Wholesaling,3323
Timber Wholesaling,3331
Plumbing Goods Wholesaling,3332
Other Hardware Goods Wholesaling,3339
Agricultural and Construction Machinery Wholesaling,3411
Other Specialised Industrial Machinery and Equipment Wholesaling,3419
Professional and Scientific Goods Wholesaling,3491
Computer and Computer Peripheral Wholesaling,3492
Telecommunication Goods Wholesaling,3493
Other Electrical and Electronic Goods Wholesaling,3494
Other Machinery and Equipment Wholesaling n.e.c.,3499
Car Wholesaling,3501
Commercial Vehicle Wholesaling,3502
Trailer and Other Motor Vehicle Wholesaling,3503
Motor Vehicle New Parts Wholesaling,3504
Motor Vehicle Dismantling and Used Parts Wholesaling,3505
General Line Grocery Wholesaling,3601
"Meat, Poultry and Smallgoods Wholesaling",3602
Dairy Produce Wholesaling,3603
Fish and Seafood Wholesaling,3604
Fruit and Vegetable Wholesaling,3605
Liquor and Tobacco Product Wholesaling,3606
Other Grocery Wholesaling,3609
Textile Product Wholesaling,3711
Clothing and Footwear Wholesaling,3712
Pharmaceutical and Toiletry Goods Wholesaling,3720
Furniture and Floor Covering Wholesaling,3731
Jewellery and Watch Wholesaling,3732
Kitchen and Diningware Wholesaling,3733
Toy and Sporting Goods Wholesaling,3734
Book and Magazine Wholesaling,3735
Paper Product Wholesaling,3736
Other Goods Wholesaling n.e.c.,3739
Commission-Based Wholesaling,3800
Car Retailing,3911
Motor Cycle Retailing,3912
Trailer and Other Motor Vehicle Retailing,3913
Motor Vehicle Parts Retailing,3921
Tyre Retailing,3922
Fuel Retailing,4000
Supermarket and Grocery Stores,4110
"Fresh Meat, Fish and Poultry Retailing",4121
Fruit and Vegetable Retailing,4122
Liquor Retailing,4123
Other Specialised Food Retailing,4129
Furniture Retailing,4211
Floor Coverings Retailing,4212
Houseware Retailing,4213
Manchester and Other Textile Goods Retailing,4214
"Electrical, Electronic and Gas Appliance Retailing",4221
Computer and Computer Peripheral Retailing,4222
Other Electrical and Electronic Goods Retailing,4229
Hardware and Building Supplies Retailing,4231
Garden Supplies Retailing,4232
Sport and Camping Equipment Retailing,4241
Entertainment Media Retailing,4242
Toy and Game Retailing,4243
Newspaper and Book Retailing,4244
Marine Equipment Retailing,4245
Clothing Retailing,4251
Footwear Retailing,4252
Watch and Jewellery Retailing,4253
Other Personal Accessory Retailing,4259
Department Stores,4260
"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",4271
Stationery Goods Retailing,4272
Antique and Used Goods Retailing,4273
Flower Retailing,4274
Other Store-Based Retailing n.e.c.,4279
Non-Store Retailing,4310
Retail Commission-Based Buying and/or Selling,4320
Accommodation,4400
Cafes and Restaurants,4511
Takeaway Food Services,4512
Catering Services,4513
"Pubs, Taverns and Bars",4520
Clubs (Hospitality),4530
Road Freight Transport,4610
Interurban and Rural Bus Transport,4621
Urban Bus Transport (Including Tramway),4622
Taxi and Other Road Transport,4623
Rail Freight Transport,4710
Rail Passenger Transport,4720
Water Freight Transport,4810
Water Passenger Transport,4820
Air and Space Transport,4900
Scenic and Sightseeing Transport,5010
Pipeline Transport,5021
Other Transport n.e.c.,5029
Postal Services,5101
Courier Pick-up and Delivery Services,5102
Stevedoring Services,5211
Port and Water Transport Terminal Operations,5212
Other Water Transport Support Services,5219
Airport Operations and Other Air Transport Support Services,5220
Customs Agency Services,5291
Freight Forwarding Services,5292
Other Transport Support Services n.e.c.,5299
Grain Storage Services,5301
Other Warehousing and Storage Services,5309
Newspaper Publishing,5411
Magazine and Other Periodical Publishing,5412
Book Publishing,5413
Directory and Mailing List Publishing,5414
"Other Publishing (except Software, Music and Internet)",5419
Software Publishing,5420
Motion Picture and Video Production,5511
Motion Picture and Video Distribution,5512
Motion Picture Exhibition,5513
Post-production Services and Other Motion Picture and Video Activities,5514
Music Publishing,5521
Music and Other Sound Recording Activities,5522
Radio Broadcasting,5610
Free-to-Air Television Broadcasting,5621
Cable and Other Subscription Broadcasting,5622
Internet Publishing and Broadcasting,5700
Wired Telecommunications Network Operation,5801
Other Telecommunications Network Operation,5802
Other Telecommunications Services,5809
Internet Service Providers and Web Search Portals,5910
Data Processing and Web Hosting Services,5921
Electronic Information Storage Services,5922
Libraries and Archives,6010
Other Information Services,6020
Central Banking,6210
Banking,6221
Building Society Operation,6222
Credit Union Operation,6223
Other Depository Financial Intermediation,6229
Non-Depository Financing,6230
Financial Asset Investing,6240
Life Insurance,6310
Health Insurance,6321
General Insurance,6322
Superannuation Funds,6330
Financial Asset Broking Services,6411
Other Auxiliary Finance and Investment Services,6419
Auxiliary Insurance Services,6420
Passenger Car Rental and Hiring,6611
Other Motor Vehicle and Transport Equipment Rental and Hiring,6619
Farm Animal and Bloodstock Leasing,6620
Heavy Machinery and Scaffolding Rental and Hiring,6631
Video and Other Electronic Media Rental and Hiring,6632
Other Goods and Equipment Rental and Hiring n.e.c.,6639
Non-Financial Intangible Assets (Except Copyrights) Leasing,6640
Residential Property Operators,6711
Non-Residential Property Operators,6712
Real Estate Services,6720
Scientific Research Services,6910
Architectural Services,6921
Surveying and Mapping Services,6922
Engineering Design and Engineering Consulting Services,6923
Other Specialised Design Services,6924
Scientific Testing and Analysis Services,6925
Legal Services,6931
Accounting Services,6932
Advertising Services,6940
Market Research and Statistical Services,6950
Corporate Head Office Management Services,6961
Management Advice and Related Consulting Services,6962
Veterinary Services,6970
Professional Photographic Services,6991
"Other Professional, Scientific and Technical Services n.e.c.",6999
Computer System Design and Related Services,7000
Employment Placement and Recruitment Services,7211
Labour Supply Services,7212
Travel Agency and Tour Arrangement Services,7220
Office Administrative Services,7291
Document Preparation Services,7292
Credit Reporting and Debt Collection Services,7293
Call Centre Operation,7294
Other Administrative Services n.e.c.,7299
Building and Other Industrial Cleaning Services,7311
Building Pest Control Services,7312
Gardening Services,7313
Packaging Services,7320
Central Government Administration,7510
State Government Administration,7520
Local Government Administration,7530
Justice,7540
Domestic Government Representation,7551
Foreign Government Representation,7552
Defence,7600
Police Services,7711
Investigation and Security Services,7712
Fire Protection and Other Emergency Services,7713
Correctional and Detention Services,7714
Other Public Order and Safety Services,7719
Regulatory Services,7720
Preschool Education,8010
Primary Education,8021
Secondary Education,8022
Combined Primary and Secondary Education,8023
Special School Education,8024
Technical and Vocational Education and Training,8101
Higher Education,8102
Sports and Physical Recreation Instruction,8211
Arts Education,8212
"Adult, Community and Other Education n.e.c.",8219
Educational Support Services,8220
Hospitals (Except Psychiatric Hospitals),8401
Psychiatric Hospitals,8402
General Practice Medical Services,8511
Specialist Medical Services,8512
Pathology and Diagnostic Imaging Services,8520
Dental Services,8531
Optometry and Optical Dispensing,8532
Physiotherapy Services,8533
Chiropractic and Osteopathic Services,8534
Other Allied Health Services,8539
Ambulance Services,8591
Other Health Care Services n.e.c.,8599
Aged Care Residential Services,8601
Other Residential Care Services,8609
Child Care Services,8710
Other Social Assistance Services,8790
Museum Operation,8910
Zoological and Botanical Gardens Operation,8921
Nature Reserves and Conservation Parks Operation,8922
Performing Arts Operation,9001
"Creative Artists, Musicians, Writers and Performers",9002
Performing Arts Venue Operation,9003
Health and Fitness Centres and Gymnasia Operation,9111
Sports and Physical Recreation Clubs and Sports Professionals,9112
"Sports and Physical Recreation Venues, Grounds and Facilities Operation",9113
Sports and Physical Recreation Administrative Service,9114
Horse and Dog Racing Administration and Track Operation,9121
Other Horse and Dog Racing Activities,9129
Amusement Parks and Centres Operation,9131
Amusement and Other Recreational Activities n.e.c.,9139
Casino Operation,9201
Lottery Operation,9202
Other Gambling Activities,9209
Automotive Electrical Services,9411
"Automotive Body, Paint and Interior Repair",9412
Other Automotive Repair and Maintenance,9419
Domestic Appliance Repair and Maintenance,9421
Electronic (except Domestic Appliance) and Precision Equipment Repair,9422
Other Machinery and Equipment Repair and Maintenance,9429
Clothing and Footwear Repair,9491
Other Repair and Maintenance n.e.c.,9499
Hairdressing and Beauty Services,9511
Diet and Weight Reduction Centre Operation,9512
"Funeral, Crematorium and Cemetery Services",9520
Laundry and Dry-Cleaning Services,9531
Photographic Film Processing,9532
Parking Services,9533
Brothel Keeping and Prostitution Services,9534
Other Personal Services n.e.c.,9539
Religious Services,9540
Business and Professional Association Services,9551
Labour Association Services,9552
Other Interest Group Services n.e.c.,9559
Private Households Employing Staff,9601
Undifferentiated Goods-Producing Activities of Private Households for Own Use,9602
Undifferentiated Service-Producing Activities of Private Households for Own Use,9603
