BIC_CODE,BIC_DESC
A017150,Poultry farming - for meat
A017160,Poultry hatchery operation - meat breeds
A017170,Turkey farming
A017210,Egg farm operation
A017220,Poultry farming - for eggs
A017230,Poultry hatchery operation - egg breeds
A018010,"Deer breeding, farming"
A019110,Agistment service - horses
A019120,Horse breeding
A019125,Horse farming nec
A019130,Stud farm operation - horses
A019210,Pig farming
A019310,Apiarist
A019320,Beekeeping
A019910,Bird breeding - except poultry or game birds
A019920,Butterfly breeding
A019930,Cat breeding
A019940,Dog breeding
A019950,Fur skin animal farming
A019960,Goat farming
A019970,Livestock raising nec
A019975,Mixed livestock farming nec
A019980,Pet breeding
A019990,Rabbit farming
A020110,Aquaculture (offshore)
A020120,Mussel farming
A020130,Oyster farming
A020210,Salmon farming (offshore)
A020310,Crayfish breeding and farming
A020320,Fish breeding or farming (onshore)
A020330,Fish hatchery operation
A020340,Lobster farming
A030110,Forest product gathering
A030120,Forestry
A030130,Sphagnum moss processing
A030210,Firewood cutting - forest
A030220,Logging (including poles)
A030230,Pulpwood cutting - forest
A030240,Timber hewing - forest
A030250,Tree cutting or felling - forest
A041105,Crab catching
A041110,"Crayfishing, lobster fishing"
A041120,Lobster fishing
A041130,Rock lobster fishing
A041210,Prawn fishing
A041220,Scampi fishing
A041310,Fishing - line fishing (including processing on board)
A041320,Line fishing
A041330,Squid jigging (including processing on board)
A041403,Netting for finfish (including processing on board)
A041407,Seining for finfish (including processing on board)
A041410,Trawling for finfish (including processing on board)
A041910,Abalone fishing
A041920,"Diving for fish, shellfish"
A041930,Fishing - freshwater
A041940,Fishing - marine nec
A041950,Oyster fishing (except from cultivated oyster beds)
A041960,Paua fishing
A041970,Seaweed - algae harvesting
A041980,"Seaweed, shellfish, and other seafood hand gathering (not from a boat)"
A042010,Bird trapping
A042020,Culling of wild animals
A042030,Fur skin animal hunting or trapping
A042040,Hunting or trapping
A042050,Mutton bird catching
A042060,Possum hunting and trapping
A042070,Rabbit hunting and trapping
A051010,Forest chemical operation (ground)
A051020,Forest conservation services
A051030,Forest nursery operation or service
A051040,Forest planting
A051050,Pest control service - forest - except aerial or wild animal control
A051055,Reforestation services
A051060,Silviculture (excluding tree cutting and felling)
A051070,Timber plantation maintenance
A051080,Tree pruning - forest
A051090,Tree thinning to waste
A052210,Goat shearing
A052220,Shearing services
A052903,Aerial crop dusting or spraying
A052907,Aerial fertiliser spreading
A052910,Aerial mustering
A052913,Aerial pest control
A052917,Agricultural fencing contractor
A052920,Agricultural services nec
A052923,Artificial insemination service
A052927,Branding services - animal
A052930,Crop dusting service - aerial
A052933,Crop harvesting service
A052937,Dairy herd testing
A052940,Dog training for farm work
A052943,Farm irrigation service
A052947,Farrier operation - horse shoeing (excluding farriers who manufacture horseshoes)
A052950,Fertiliser spreading - aerial
A052953,Fertiliser spreading - except aerial
A052955,Fishing support services nec
A052957,Fruit picking
A052960,"Hay cutting, baling or pressing"
A052963,Horticultural services nec
A052964,Horse training (working horses)
A052965,Labour supply - horticulture workers
A052967,Land clearing - bush or rural
A052970,"Livestock dipping, drafting or droving"
A052973,Mustering - aerial
A052977,Pest control service - aerial
A052980,Pest control service - agricultural - except aerial or wild animal control
A052983,Seed cleaning or grading
A052987,Wool classing - except reclassing or bulk classing
A052990,Wool handling (in conjunction with shearing)
A052993,Wool reclassing or bulk classing
B060010,Coal mining - black coal - opencast
B060020,Coal mining - black coal - underground
B060030,Coal mining - brown coal - opencast
B060040,Coal mining - brown coal - underground
B060050,Peat cutting and packaging
B070010,Gas - natural - extraction
B070020,Liquefied petroleum gas - production - except refinery
B070030,Oil and gas extraction
B070040,Oil shale mining
B080105,Iron ore dressing or beneficiating
B080110,Iron sand mining
B080410,Gold mining - dredging
B080420,Gold mining - opencast
B080430,Gold mining - reworking mullock heaps or tailings
B080440,Gold mining - underground
B080510,Sand mining - mineral
B080710,Silver - lead - zinc ore mining
B080720,Silver ore mining
B080730,Zinc ore mining
B080910,Iron pyrite mining
B080920,Metallic ore mining nec
B080930,Tin ore mining
B091110,"Gravel quarrying, washing or screening"
B091120,Pebble quarrying
B091130,Rock gathering - ornamental
B091140,"Sand quarrying, washing or screening"
B091910,Aggregate quarrying
B091920,Clay quarrying
B091930,"Construction material mining - except sand quarrying, washing or screening"
B091935,Construction materials crushing or screening
B091940,Granite quarrying
B091950,Limestone quarrying
B091960,Marble quarrying
B091970,Sandstone quarrying
B091980,Slate quarrying
B091990,Stone quarrying
B099010,Gemstone mining
B099020,Greenstone or jade mining
B099030,Mining nec
B099040,Quartz quarrying
B099050,Salt harvesting
B101110,Petroleum and natural gas exploration
B101120,Petroleum and natural gas exploration services
B101210,Mineral exploration - own account
B101220,Mineral exploration services
B109005,Drilling and blasting services to mines and quarries - except entire mining operation
B109010,Oil and gas field services
B109020,Other mining services
B109030,Petroleum and natural gas drilling services
C111110,Abattoir operation - except poultry
C111120,"Beefburgers, frozen or raw, manufacturing"
C111130,"Bungs, caps or weasands manufacturing"
C111140,Casings manufacturing
C111150,Gut materials manufacturing
C111160,Meat cutting and boning operation
C111170,Meat processing
C111180,"Meat, canned or dehydrated, manufacturing"
C111190,Rendering plant operation (not in conjunction with an abattoir)
C111210,Abattoir operation - poultry
C111220,Croquette manufacturing (from poultry meat)
C111230,Game bird slaughtering
C111240,Meal (poultry offal) manufacturing
C111250,Poultry meat manufacturing - except canned
C111260,Poultry packing
C111270,Poultry processing
C111310,"Bacon, ham, and smallgoods manufacturing"
C111320,Corned meat manufacturing (except canned)
C111330,Hamburgers manufacturing - precooked
C111340,"Meat, cooked manufacturing - except poultry"
C111350,Pate manufacturing - except fish
C111360,Sausages manufacturing - except canned
C112010,Crustacean - processed manufacturing
C112020,Fish cleaning or filleting
C112025,"Fish cutting, skinning, freezing (other than on vessels)"
C112030,Fish manufacturing - canned
C112035,Fish manufacturing - dried or smoked
C112040,Fish packing house (licensed) operation
C112045,Fish paste or pate manufacturing
C112050,Oyster manufacturing - canned
C112060,Seafood manufacturing - canned
C112065,Seafood manufacturing - preserved
C112070,Seafood processing (other than on vessels)
C112080,Shellfish opening
C113110,Milk and cream processing
C113120,Milk receiving or distribution depot operation
C113210,Ice cream manufacturing
C113220,"Water ices or fruit ices, frozen, manufacturing"
C113310,Baby foods manufacturing - milk based
C113320,Butter manufacturing
C113330,Cheese manufacturing
C113340,Dairy products manufacturing nec
C113350,Milk manufacturing - condensed or evaporated
C113360,Milk powder manufacturing
C113370,Milk products manufacturing nec
C113380,Yoghurt manufacturing
C114010,"Baby foods, canned or bottled manufacturing - except milk based"
C114015,Baked beans manufacturing
C114020,Chutneys or relishes manufacturing
C114025,Frozen fruit or vegetable manufacturing
C114030,Fruit canning or bottling
C114035,Fruit drying - except sun drying
C114040,"Fruit juices, single strength or concentrated"
C114045,Fruit manufacturing - frozen
C114050,Fruit pulp manufacturing - puree or spreads
C114055,"Jam manufacturing - including conserves, jellies or fruit spreads"
C114060,Rice preparations manufacturing - canned
C114065,Sauces manufacturing
C114070,Soup manufacturing
C114075,Spaghetti manufacturing - canned
C114080,Vegetable juices or soups manufacturing
C114085,Vegetable manufacturing - preserved
C114090,Vinegar manufacturing (except wine vinegar)
C115010,Cooking oil filtration and recycling
C115020,Margarine manufacturing
C115030,Oil and fat manufacturing
C115040,Tallow manufacturing
C115050,"Vegetable oil, meal or cake manufacturing"
C116110,Flour manufacturing - wheat - except self-raising flour
C116120,Flour manufacturing - wheat - self-raising flour
C116130,Flour mill product manufacturing
C116135,Grain product manufacturing nec
C116140,Malt extract manufacturing
C116150,Malt manufacturing - except malt extract
C116160,Rice manufacturing
C116170,Self-raising flour manufacturing
C116210,Baking mix manufacturing
C116220,Cereal foods manufacturing
C116230,Oatmeal manufacturing
C116240,Pasta manufacturing
C117110,Bakery for bread etc manufacturing - except those selling directly to public
C117120,Bread bakery operation - except those selling direct to public
C117125,Bread manufacturing (factory-based)
C117130,Unleavened bread manufacturing
C117205,Cake and pastry manufacturing (factory-based)
C117210,Cake icing or decorating
C117220,Cake or pastry manufacturing - except those selling direct to public
C117230,Crumpet manufacturing
C117240,Doughnut manufacturing
C117250,Pastry dough manufacturing - frozen
C117260,Pastry manufacturing - except frozen pastry dough
C117270,"Pie, pastry, sausage roll manufacturing"
C117280,Plum pudding manufacturing
C117310,Biscuit manufacturing
C117320,Ice cream cone or wafer manufacturing
C117410,Bakery and hot bread shop
C117420,Bakery retailing (with on-site baking)
C118110,Sugar manufacturing
C118210,Chocolate manufacturing
C118220,Confectionery manufacturing
C118230,Crystallised or glace fruit or peel manufacturing
C118240,Nuts manufacturing - candied
C119110,Potato crisp and corn chip manufacturing
C119210,Animal food manufacturing
C119220,Bird feed manufacturing
C119230,Cattle or sheep lick manufacturing
C119240,Fodder manufacturing - prepared
C119250,Pet food manufacturing - canned
C119260,Poultry feed manufacturing - prepared
C119910,Coffee manufacturing
C119915,Flavouring manufacturing - food
C119920,Food dressing manufacturing
C119925,Food manufacturing nec
C119930,Herb manufacturing - processed
C119935,Honey manufacturing - blended
C119940,Jelly crystals manufacturing
C119945,Pre-prepared meals manufacturing nec
C119950,Rice preparations manufacturing nec
C119955,Salt manufacturing - cooking or table
C119960,Seasoning manufacturing - food
C119965,Spice manufacturing
C119970,Sushi and sashimi manufacturing
C119975,Tea manufacturing
C121110,Cordial manufacturing
C121120,Fruit juice or fruit juice drink manufacturing - less than single strength
C121130,Ice manufacturing - except dry ice
C121140,Mineral water manufacturing
C121150,Soft drink manufacturing
C121160,"Soft drink mix, powdered, manufacturing"
C121170,"Syrup manufacturing - chocolate, caramel or vanilla"
C121180,"Syrup, fruit, manufacturing"
C121210,Beer manufacturing
C121220,Breweries
C121310,Liqueur manufacturing
C121320,Spirit based mixed drink manufacturing
C121330,"Spirits, potable manufacturing"
C121410,Cider manufacturing
C121420,Mead manufacturing
C121430,Sparkling wine manufacturing
C121440,"Vinegar, wine, manufacturing"
C121450,Wine manufacturing
C121460,"Wine-based fruit drink ""coolers"" manufacturing"
C122010,Cigarette manufacturing
C122020,Tobacco manufacturing
C131110,Lanolin manufacturing
C131120,Wool manufacturing - carded or combed
C131130,Wool scouring
C131210,Cotton textile manufacturing
C131220,Fabric manufacturing - cotton
C131230,Fabric manufacturing - wool
C131235,Natural textile manufacturing nec
C131240,Wool textile manufacturing
C131250,"Yarn manufacturing - cotton, flax or silk"
C131260,Yarn manufacturing - wool
C131310,Fabric manufacturing - synthetic
C131320,Fibreglass fabric manufacturing
C131330,Synthetic fibre textile manufacturing
C131340,Yarn manufacturing - elastic or elastomeric
C132010,Bag manufacturing - leather or leather substitute
C132020,Fellmongery
C132030,Handbag manufacturing
C132040,Harness manufacturing
C132050,Leather manufacturing
C132060,Leather or leather substitute goods manufacturing nec
C132070,Leather tanning and fur dressing
C132080,Saddle manufacturing
C132090,Suitcase manufacturing
C133110,"Carpet, rug manufacturing"
C133120,Floor covering manufacturing - textile
C133210,Cord and twine manufacturing
C133220,Fish net manufacturing
C133230,Net and netting manufacturing
C133240,Rope manufacturing
C133250,String manufacturing
C133310,Awning manufacturing - textile
C133315,Bag or sack manufacturing - textile
C133320,Blanket manufacturing - cotton
C133325,Blanket manufacturing - synthetic
C133330,Blanket manufacturing - wool
C133335,Blind manufacturing - textile
C133340,Canvas goods manufacturing
C133345,Curtain making
C133350,Flag or banner manufacturing
C133355,Motor vehicle covers manufacturing - textile
C133360,Parachute manufacturing
C133365,Pillow or cushion manufacturing
C133370,Rug manufacturing - animal
C133375,Sail manufacturing
C133380,Seat cover manufacturing - textile
C133385,Sleeping bag manufacturing
C133390,Soft furnishing manufacturing
C133395,Tent manufacturing
C133410,Badge manufacturing - cloth
C133420,Dyeing service
C133430,Fabric manufacturing - embroidered
C133440,Fabric manufacturing nec
C133450,"Label woven cloth, manufacturing"
C133455,"Label, printed cloth, manufacturing"
C133460,Textile finishing
C133470,Textile printing or dyeing (on commission or fee basis)
C133480,Textile product manufacturing nec
C133490,Underfelt manufacturing
C134010,Cardigan and pullover manufacturing
C134020,"Handknitting - cardigan, pullover or similar"
C134025,"Handknitting - other than cardigan, pullover or similar"
C134030,Hosiery manufacturing
C134040,Knitted clothing manufacturing (from fabric knitted at the same unit)
C134045,Knitted fabric manufacturing
C134050,Pantihose manufacturing
C134060,Sock manufacturing
C134070,Stocking manufacturing
C134080,Tight manufacturing
C135103,Clothing accessories manufacturing nec
C135107,Clothing manufacturing - leather
C135110,Clothing manufacturing - mens and boys
C135113,"Clothing manufacturing - sleepwear, underwear and infant clothing"
C135117,Clothing manufacturing - waterproof
C135120,Clothing manufacturing - womens and girls
C135123,Clothing manufacturing nec
C135127,Custom tailoring - womens and girls
C135130,Custom tailoring (mens & boys)
C135133,Dressmaking - custom tailoring
C135137,Foundation garment manufacturing
C135140,Hat manufacturing
C135143,Helmet manufacturing
C135147,Infant clothing manufacturing (except from fabric knitted at the same unit)
C135150,Jeans manufacturing - mens or boys
C135153,Jeans manufacturing - womens or girls
C135157,Leather clothing manufacturing
C135160,Lingerie manufacturing
C135163,Male and female clothing manufacturing - similar quantities of each
C135167,Menswear manufacturing
C135170,Sleepwear manufacturing (except from fabric knitted at the same unit)
C135173,Suit manufacturing - mens or boys
C135177,Suits manufacturing - womens or girls
C135180,Swimwear manufacturing (except from fabric knitted at the same unit)
C135183,Tie manufacturing
C135187,Underwear manufacturing (except from fabric knitted at the same unit)
C135190,Uniform manufacturing - mens or boys
C135193,Uniform manufacturing - womens or girls
C135196,Unisex clothing manufacturing
C135198,Wet suit manufacturing
C135210,Boot manufacturing
C135220,Footwear component manufacturing
C135230,Footwear manufacturing
C135240,Sandal manufacturing
C135250,Shoe manufacturing
C135260,Thong manufacturing - rubber
C141110,Bark manufacturing - ground
C141120,Logyard operation in conjunction with a processing plant
C141130,Saw mill operation
C141140,Timber manufacturing - rough sawn
C141210,Woodchip manufacturing
C141305,Chemical preservation of timber
C141310,Dressed timber or moulding manufacturing
C141320,"Timber manufacturing - building, dressed"
C141325,Timber drying
C149110,Garage manufacturing - prefabricated nec
C149120,Kitset home manufacturing
C149130,Prefabricated building manufacturing nec
C149140,Transportable home manufacturing
C149210,"Cabinet making, joinery - except furniture and on-site fabrication of built in furniture or other joinery"
C149220,"Carpentry, joinery - except furniture and on-site fabrication of built-in furniture or other joinery"
C149230,Door or window manufacturing - wooden
C149240,Roof truss manufacturing - wooden
C149250,Structural fitting manufacturing - wooden
C149260,Wooden structural component manufacturing
C149305,Laminated veneer lumber (LVL) manufacturing
C149310,Plywood manufacturing
C149320,Veneer or veneer sheet manufacturing - wooden
C149410,Chipboard manufacturing
C149420,Fabricated wood manufacturing
C149430,Hardboard manufacturing
C149440,Particle board manufacturing
C149450,Wallboard (other) manufacturing
C149910,Barrel manufacturing - wooden
C149915,Blind or shutter manufacturing - wooden
C149920,Containers (wooden) manufacturing
C149930,Frame manufacturing - wooden picture or mirror
C149940,Hot tub (wooden) manufacturing
C149950,Picture framing service
C149960,Wood product manufacturing nec
C151010,Cardboard manufacturing
C151020,Newsprint manufacturing
C151030,Paper manufacturing nec
C151040,Paper pulp manufacturing
C151050,Paperboard manufacturing nec
C151060,Wood pulp manufacturing
C152110,Container manufacturing - corrugated paperboard
C152120,Container manufacturing - solid paperboard
C152130,Corrugated paperboard sheeting manufacturing
C152210,Bag manufacturing - paper
C152220,Paper bag and sack manufacturing
C152310,Album manufacturing
C152320,Calendar manufacturing
C152330,Greeting card manufacturing
C152340,Paper stationery manufacturing - except commission printing
C152410,Baby napkin manufacturing - disposable
C152420,Sanitary napkin manufacturing
C152430,Tampon manufacturing
C152440,Tissue or sanitary paper manufacturing
C152450,Toilet paper rolls manufacturing
C152910,Adhesive tape manufacturing
C152920,Paper product manufacturing nec
C152930,Wallpaper manufacturing
C161110,Commercial printing
C161120,Newspaper printing
C161130,Photocopying service
C161140,Printing
C161150,Screen printing
C161160,"Stationery, paper, printing"
C161210,Artwork preparation service
C161220,Bookbinding
C161230,Laser engraving
C161240,Phototypesetting and layout service
C161250,Platemaking film service
C161255,Printing support service nec
C161260,Printing trade service
C161270,Screen printing positive manufacturing
C161280,Typesetting and composing service
C162010,"Audio tape, pre-recorded, manufacturing or publishing"
C162020,Compact disc manufacturing or publishing
C162030,Computer tape or disks manufacturing or publishing - pre-recorded
C162040,Magnetic tape manufacturing - pre-recorded or publishing
C162050,Record - phonograph - manufacturing or publishing
C162060,Recorded media manufacturing and publishing
C162070,"Video tape, pre-recorded manufacturing or publishing"
C170110,Gas or fuel oil manufacturing
C170120,Gasoline refining or blending
C170130,Liquefied petroleum gas manufacturing - refinery
C170140,Petroleum refining
C170150,Synthetic petrol manufacturing
C170910,Bituminous product manufacturing
C170920,Coal product manufacturing nec
C170930,Paving material manufacturing - except hot-mix
C170940,Petroleum product manufacturing nec
C170950,Recovery of lubricating oil or grease from used petroleum products
C170960,Roofing manufacturing - bitumen or asphalt
C181110,Acetylene gas manufacturing
C181120,Dry ice manufacturing
C181130,Gas manufacturing - industrial
C181140,Industrial gas manufacturing
C181150,Medical gas manufacturing nec
C181210,Dyes manufacturing - organic
C181220,Industrial chemical manufacturing - organic nec
C181230,Organic industrial chemical manufacturing nec
C181310,Ammonia manufacturing
C181320,Chlorine manufacturing
C181330,Dyes manufacturing - inorganic
C181340,Industrial chemical manufacturing - inorganic nec
C181350,Salt refining - except cooking or table salt
C182110,Rubber recycling
C182120,Silicone manufacturing
C182130,Synthetic resin manufacturing
C182140,Synthetic rubber manufacturing
C182905,Basic polymer manufacturing nec
C182910,"Insulation material, cellulose fibre, manufacturing"
C182920,Plastic raw material manufacturing
C182930,Plastic recycling
C183110,Fertiliser manufacturing
C183120,Potting mix manufacturing and packaging
C183210,Dip manufacturing - animal
C183220,Fly spray manufacturing
C183230,Insecticide manufacturing
C183240,Mouse and rat poison manufacturing
C183250,Pesticide manufacturing
C183260,Weedkiller manufacturing
C184110,Contraceptive manufacturing
C184120,Medicine manufacturing
C184130,Pharmaceutical preparation (human) manufacturing
C184140,Vitamin product manufacturing
C184210,Veterinary pharmaceutical preparation manufacturing
C185110,Candle manufacturing
C185120,Detergent manufacturing
C185130,Disinfectant manufacturing
C185140,Polish manufacturing
C185150,Soap manufacturing
C185160,Surface cleaning or degreasing preparation manufacturing
C185170,Toothpaste manufacturing
C185180,Washing powder or liquid manufacturing
C185210,Cosmetic manufacturing
C185220,Deodorant manufacturing
C185230,Hair care product manufacturing
C185240,Perfume manufacturing
C185250,Sun-screen preparation manufacturing
C185260,Toiletry preparation manufacturing
C189210,Explosive manufacturing
C189220,Firework manufacturing
C189230,Match manufacturing
C189240,Pyrotechnic goods manufacturing nec
C189910,Chemical product manufacturing nec
C189915,E-liquid (for electronic cigarette and vape) manufacturing
C189920,Essential oil distilling
C189930,Lavender oil extraction
C191110,Bag manufacturing - plastic
C191120,Film manufacturing - plastic
C191130,Garbage bag manufacturing - plastic
C191140,Plastic laminate fabrication
C191210,"Blow moulding, plastic, manufacturing"
C191220,Kitchenware manufacturing - plastic
C191230,Moulded plastic shoe manufacturing
C191240,Picnicware manufacturing - plastic
C191250,Plastic door or window manufacturing
C191260,Plastic extruded product manufacturing
C191270,Plastic injection moulded product manufacturing
C191275,Rigid and semi-rigid polymer product manufacturing nec
C191280,"Thermoforming, plastic, manufacturing"
C191290,"Vacuum forming, plastic, manufacturing"
C191310,Plastic foam product manufacturing
C191410,Motor vehicle tyre manufacturing
C191420,Tube manufacturing - pneumatic
C191430,Tyre retreading or recapping
C191440,"Tyre, pneumatic, manufacturing"
C191510,Adhesive manufacturing
C191520,Glue manufacturing
C191605,Coatings manufacturing nec
C191610,Filler or putty manufacturing
C191620,Ink manufacturing
C191630,Lacquer manufacturing
C191640,Paint manufacturing - except bituminous
C191650,Paint remover manufacturing
C191910,Awning manufacturing - fibreglass
C191920,Fibreglass product manufacturing nec
C191930,Garbage bin manufacturing - plastic
C191940,Plastic product manufacturing nec
C191950,Plastic product rigid fibre reinforced manufacturing
C191960,Spa pool manufacturing
C191970,Swimming pool shell manufacturing
C191980,Tank manufacturing - fibre reinforced plastic
C192010,Floor covering manufacturing - rubber
C192020,Hose manufacturing - rubber
C192030,Mattress manufacturing - rubber
C192040,Rubber product manufacturing nec
C192050,Tile manufacturing - rubber
C192060,"Tyre, solid rubber, manufacturing"
C201005,Bottle manufacturing - glass
C201010,Crystal glass manufacturing
C201015,"Glass cutting, bevelling (excluding glazing)"
C201020,Glass or glass product manufacturing - except glass wool or glass wool product
C201025,Jar manufacturing - glass
C201030,Kitchenware manufacturing - glass
C201035,Laminated sheet glass manufacturing
C201040,Mirror manufacturing
C201045,Optical glass manufacturing
C201050,Safety glass manufacturing
C201055,Scientific glassware manufacturing
C201060,Tubing manufacturing - glass
C201065,Window glass manufacturing
C201070,Windscreen glass manufacturing
C202110,Brick manufacturing - clay
C202903,Art pottery manufacturing
C202907,Bathroom fixture manufacturing - vitreous china
C202910,Brick manufacturing - refractory
C202913,Ceramic product manufacturing nec
C202917,"Ceramic product, industrial manufacturing"
C202920,Ceramic tile and pipe manufacturing
C202923,China goods manufacturing
C202927,Crockery manufacturing
C202930,Flower pot manufacturing - ceramic
C202933,Kitchen sink manufacturing - vitreous china or porcelain
C202937,Kitchenware manufacturing - ceramic
C202940,Pipe manufacturing - ceramic - except vitreous china or porcelain
C202943,Pipe or pipe fitting - vitreous china or porcelain manufacturing
C202947,Pottery goods manufacturing - ornamental
C202950,Roof tile manufacturing - terracotta or clay
C202953,Sanitary ware manufacturing - vitreous china or porcelain
C202957,Stoneware manufacturing - table or kitchen
C202960,Terracotta construction goods manufacturing
C202963,Terracotta ware manufacturing nec
C202967,Tile manufacturing - terracotta
C202970,Toilet cistern manufacturing - vitreous china or porcelain
C202973,Vitreous china goods manufacturing - except tile
C202977,Wall or floor tile manufacturing - ceramic
C202980,Wash basin manufacturing - vitreous china or porcelain
C203110,Cement manufacturing
C203120,Lime manufacturing
C203210,Display model manufacturing - plaster
C203220,Plaster product manufacturing - except dental or medical plaster
C203230,Plasterboard manufacturing
C203240,"Tile manufacturing - acoustic, plaster"
C203250,Tile manufacturing - plaster
C203260,Wall or ceiling board manufacturing - plaster
C203310,Ready mixed concrete manufacturing - except dry mix
C203405,Block manufacturing - concrete
C203410,"Box culvert, concrete, manufacturing"
C203415,Brick manufacturing - concrete
C203420,"Building board, fibre cement, manufacturing"
C203425,Concrete product manufacturing nec
C203430,Floor or wall tile manufacturing - concrete
C203435,Flower pot manufacturing - concrete
C203440,Monument or grave marker manufacturing - concrete
C203445,Pipe manufacturing - concrete
C203450,Post or pole manufacturing - concrete
C203455,Railway sleeper manufacturing - concrete
C203460,Roof component manufacturing - concrete
C203465,Roof tile manufacturing - concrete
C203470,Tank manufacturing - concrete
C203475,Terrazzo product manufacturing
C203480,Tile manufacturing - concrete
C209010,Abrasive manufacturing
C209020,"Acoustic tile, panel and board manufacturing - glass or mineral wool"
C209030,"Building board, imitation brick or stone, manufacturing"
C209040,Gemstone manufacturing - synthetic
C209050,"Headstone manufacturing, installation"
C209060,"Insulation, glass fibre or mineral wool manufacturing"
C209065,Mineral product manufacturing nec
C209070,Monument making
C209080,"Stone - cutting, dressing, polishing or shaping"
C211010,"Flat-rolled products, iron or steel, manufacturing"
C211020,Iron and steel manufacturing - basic
C211025,Iron or steel recovery from scrap
C211030,Pig iron manufacturing
C211040,Roof decking manufacturing - steel
C211050,"Section, steel, manufacturing"
C211060,Stainless steel manufacturing
C211070,Steel alloy manufacturing
C211080,Tinplate sheet or strip manufacturing
C212110,Casting manufacturing - iron or steel
C212120,"Fitting or valve, steam, gas, or water, manufacturing (cast iron or steel)"
C212210,Pipe and tube manufacturing - steel
C213110,Alumina manufacturing
C213205,Aluminium recovery from scrap
C213210,Aluminium smelting
C213305,"Copper, silver, lead or zinc recovery from scrap or waste material"
C213310,"Copper smelting, refining"
C213320,"Lead smelting, refining"
C213330,"Silver smelting, refining"
C213340,Silver-lead bullion manufacturing
C213350,Zinc smelting or refining
C213910,"Gold smelting, refining"
C213920,Non-ferrous alloy manufacturing nec
C213925,Recovery of non-ferrous metal nec from waste material
C213930,Tin smelting
C213940,Welding rods manufacturing
C214110,Casting manufacturing - non-ferrous metal
C214120,"Die casting, non-ferrous metal manufacturing nec"
C214130,Forging manufacturing - non-ferrous metal nec
C214210,"Aluminium rolling, drawing or extruding"
C214220,Pipe and tube manufacturing - aluminium
C214230,Plate manufacturing - aluminium
C214240,Sheet manufacturing - aluminium
C214250,Wire manufacturing - aluminium
C214910,Pipe and tube manufacturing - non-ferrous metal - except aluminium
C214920,Plate manufacturing - non-ferrous metal - except aluminium
C214930,Sheet manufacturing - non-ferrous metal - except aluminium
C214940,Wire manufacturing - non-ferrous metal - except aluminium
C221010,"Fitting or valve, steam, gas, or water, manufacturing (forged iron or steel)"
C221020,Forging manufacturing - iron or steel
C221030,Horseshoe manufacturing - farriery
C221040,Horseshoe manufacturing - mass production
C222110,Fabricated structural steel manufacturing - ready made parts for structures
C222120,Girder manufacturing - prefabricated steel
C222130,"Joist, prefabricated steel manufacturing"
C222140,"Reinforcing steel rod, processed, manufacturing"
C222150,Roof truss manufacturing - prefabricated steel
C222160,Scaffolding manufacturing - prefabricated steel
C222210,Garage manufacturing - prefabricated metal
C222220,Prefabricated metal building manufacturing
C222230,Shed manufacturing - prefabricated metal
C222240,Shed manufacturing - prefabricated nec
C222305,Architectural aluminium product manufacturing
C222307,"Chain curtain or screen, aluminium, manufacturing"
C222310,"Doors or door frame, aluminium, manufacturing"
C222315,Garage door manufacturing - aluminium
C222320,Gate manufacturing - aluminium
C222325,Roller shutter manufacturing - aluminium
C222330,Screen door manufacturing - aluminium
C222335,"Shop front manufacturing, installation - aluminium"
C222340,Shower screen manufacturing - aluminium framed
